,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,car_maker
5912, Passat,2019,Manual,15435,Diesel,150,51.4,2.0,vw
2828, A Class,2019,Semi-Auto,17945,Diesel,145,65.7,1.5,mercedes
2329, Focus,2017,Manual,20102,Petrol,20,60.1,1.0,ford
5705, C-HR,2018,Automatic,8661,Hybrid,135,74.3,1.8,toyota
4985, Fiesta,2020,Manual,10,Petrol,150,58.9,1.0,ford
4730, Focus,2019,Manual,2583,Petrol,145,51.4,1.5,ford
10831, Tiguan,2018,Manual,14879,Petrol,145,48.7,1.4,vw
5383, Aygo,2010,Semi-Auto,16681,Petrol,20,61.4,1.0,toyota
4281, Kuga,2019,Manual,15281,Diesel,145,38.2,2.0,ford
2064, Fiesta,2018,Manual,16504,Petrol,145,40.3,1.5,ford
2178, Galaxy,2018,Semi-Auto,34880,Diesel,145,52.3,2.0,ford
8229, Fiesta,2018,Manual,20015,Petrol,145,65.7,1.0,ford
5448, Q8,2019,Automatic,9002,Diesel,145,33.6,3.0,audi
637, Superb,2016,Manual,68160,Diesel,20,67.3,1.6,skoda
5381, A4,2020,Automatic,8115,Diesel,145,39.8,3.0,audi
4308, 4 Series,2019,Automatic,3106,Diesel,145,65.7,2.0,bmw
8313, 3 Series,2011,Manual,190000,Diesel,20,68.9,2.0,bmw
12899, Up,2018,Manual,3704,Petrol,145,64.2,1.0,vw
2186, X2,2020,Semi-Auto,1500,Diesel,145,61.4,2.0,bmw
6502, Mondeo,2019,Manual,50,Diesel,150,65.7,2.0,ford
7077, Fiesta,2014,Manual,41731,Petrol,0,65.7,1.0,ford
13833, Touareg,2019,Automatic,5932,Diesel,145,34.0,3.0,vw
4068, A Class,2017,Semi-Auto,14823,Diesel,145,68.9,2.1,mercedes
8924, Focus,2018,Manual,14835,Petrol,145,57.7,1.0,ford
7573, 3 Series,2017,Automatic,60000,Diesel,145,64.2,2.0,bmw
4694, 1 Series,2019,Semi-Auto,13942,Diesel,150,60.1,2.0,bmw
2934, C Class,2019,Semi-Auto,12016,Petrol,145,46.3,1.5,mercedes
11504, Mondeo,2018,Manual,25199,Petrol,145,48.7,1.5,ford
11989, EcoSport,2015,Manual,33600,Petrol,160,44.8,1.5,ford
3578, EcoSport,2018,Manual,10708,Petrol,145,54.3,1.0,ford
13488, Caravelle,2016,Manual,30414,Diesel,235,42.8,2.0,vw
