,price
5912,16795
2828,18480
2329,9995
5705,20995
4985,17000
4730,19950
10831,20790
5383,5699
4281,17849
2064,14995
2178,17995
8229,9500
5448,53000
637,10298
5381,43890
4308,24480
8313,3493
12899,8500
2186,26780
6502,20000
7077,7040
13833,44190
4068,18162
8924,13820
7573,16500
4694,20998
2934,25480
11504,14999
11989,7441
3578,15490
13488,29994
4493,15490
1708,13640
9475,31699
1410,7295
4026,18990
5140,6300
8435,13990
2592,18401
2624,24530
3207,27980
2669,6650
4525,12495
4231,17241
278,24143
3274,28990
8015,14999
4217,32000
7153,18699
16160,13995
2141,21995
4779,23990
9440,6990
12672,18250
5912,10077
6022,10490
4465,32990
12197,6495
6652,32498
3548,11498
1131,32500
5128,7800
4697,56555
7350,13990
11037,18490
4898,13530
7007,27500
5633,25350
3918,29995
13146,9500
2992,16962
7598,25300
1846,10995
10370,20700
3148,19480
1137,15995
9081,25991
14280,27950
1052,12695
6115,39490
5319,22990
1873,14980
8315,11499
1982,20450
6734,18990
7858,12000
5682,14522
2267,41990
4950,8599
1331,6995
7383,25729
12956,7490
1459,22646
13932,27371
3515,20000
890,21450
4840,5950
1540,33990
2031,12751
16758,5799
9719,20990
9285,11495
6819,22990
6111,18195
278,9998
5684,18990
6948,8795
12770,26990
17699,5995
1460,10895
895,21900
7940,12997
2190,6498
6133,13661
3668,30980
9622,5995
3598,16591
9742,8760
718,16000
257,28000
5230,47950
856,8995
7791,11140
10082,25690
8557,10750
4650,48022
10709,8490
6780,18999
8002,11400
1618,19998
6429,13995
5944,21999
10898,7995
2546,8985
174,19998
11313,17995
8500,15999
403,9998
10969,8450
99,30403
6007,18792
7273,45799
5269,18690
2485,8990
6178,29470
6475,5990
8325,17995
15569,10800
10667,15850
4465,7990
13057,12290
8555,7520
5546,12500
6303,29750
11106,4950
10572,21250
3855,9774
9946,13490
2489,22990
11552,28999
8236,5650
8514,19890
8974,10999
1507,22292
656,29989
9047,21499
7966,6990
3106,10998
1233,13998
483,11998
1240,13498
540,23491
15805,10189
1337,10698
2989,28980
4325,28995
2817,31990
9566,14500
625,14990
8372,9310
6222,20210
585,15498
11299,16899
11143,15599
12950,20450
3957,15980
6365,9600
8888,7495
4733,19833
6331,9699
2156,11450
169,27499
3231,14991
9541,23000
8615,11950
17446,2280
1865,11200
11628,13500
10385,35000
6399,8500
4950,5990
7191,9689
12722,9299
7456,12000
880,14495
8737,15800
2038,9998
3892,21950
4688,13500
4422,13998
14513,12491
17107,8950
3589,16450
1400,19995
14863,7995
7622,20990
6767,17997
12552,23950
1622,8498
13041,20019
5430,33999
3446,11995
4244,27490
4751,34950
2224,18900
3242,17990
12754,17780
5673,31500
2374,10790
4650,13495
7338,12995
1785,19995
2702,10695
1649,14990
1929,14290
9919,16499
2516,26850
6367,9990
3698,19790
9137,23499
832,14490
5458,16691
3150,14990
4215,8195
138,14650
7075,31400
14648,9186
8438,15500
265,17169
11558,10999
8791,20999
5361,20450
5207,24490
9776,14990
6200,13495
515,8291
3374,19990
12278,15000
12360,17700
8395,9190
1178,17998
8111,21349
2471,19991
408,17000
3345,36850
1764,12245
3374,13492
5431,25999
8392,10899
633,15991
102,13498
9901,16400
6753,24990
11764,12295
239,13200
7640,10390
1544,10900
1035,10498
11839,28990
14970,7699
3538,18250
8977,12500
14740,16749
5270,32111
5322,12999
14812,10499
14034,25990
5083,9070
12768,11499
14678,20990
272,29998
14779,23990
8740,16789
6386,24515
908,36888
6845,23199
3430,6727
2570,26490
2593,18640
7855,29995
13610,21431
2196,19005
14087,10700
1986,27780
10875,41900
5877,81140
9595,19199
1671,9298
4339,9690
3592,11400
